pupil,school,minority,sex,ses,mathach
p3449,s4642,No,Female,0.422,20.293
p3450,s4642,No,Female,-0.078,12.052
p3451,s4642,No,Female,0.242,12.094
p3452,s4642,No,Female,0.682,8.107
p3453,s4642,No,Male,-0.148,11.605
p3454,s4642,No,Male,-0.288,6.734
p3455,s4642,No,Female,0.232,17.102
p3456,s4642,No,Female,0.102,7.701
p3457,s4642,No,Male,0.212,11.134
p3458,s4642,No,Female,-0.168,20.986
p3459,s4642,Yes,Male,-0.118,10.124
p3460,s4642,No,Female,-0.058,8.178
p3461,s4642,No,Female,-0.278,-0.365
p3462,s4642,No,Male,0.892,24.993
p3463,s4642,No,Female,1.222,16.606
p3464,s4642,No,Male,0.892,19.103
p3465,s4642,No,Male,0.422,9.03
p3466,s4642,No,Female,0.542,19.141
p3467,s4642,No,Male,-0.338,7.071
p3468,s4642,No,Male,0.482,24.421
p3469,s4642,No,Female,-0.338,9.223
p3470,s4642,Yes,Male,-0.678,6.88
p3471,s4642,No,Male,0.012,10.252
p3472,s4642,No,Female,0.442,11.86
p3473,s4642,No,Female,-0.618,3.085
p3474,s4642,No,Male,0.762,16.919
p3475,s4642,No,Female,1.312,18.829
p3476,s4642,No,Male,-1.198,8.644
p3477,s4642,No,Female,0.142,19.521
p3478,s4642,No,Male,1.152,15.12
p3479,s4642,No,Female,-0.498,23.238
p3480,s4642,No,Female,-1.168,5.507
p3481,s4642,No,Female,-0.048,14.832
p3482,s4642,No,Female,0.232,8.738
p3483,s4642,No,Female,-2.218,17.326
p3484,s4642,No,Female,-0.238,3.812
p3485,s4642,No,Female,-0.768,19.685
p3486,s4642,No,Female,0.342,20.136
p3487,s4642,No,Male,-0.478,9.209
p3488,s4642,No,Female,0.622,16.225
p3489,s4642,No,Female,0.502,18.846
p3490,s4642,No,Female,0.712,22.07
p3491,s4642,No,Male,0.382,15.776
p3492,s4642,No,Female,-0.478,14.918
p3493,s4642,No,Female,-0.368,17.864
p3494,s4868,No,Female,0.942,18.308
p3495,s4868,No,Female,0.622,6.968
p3496,s4868,No,Female,0.902,19.078
p3497,s4868,Yes,Male,-1.048,10.261
p3498,s4868,Yes,Male,-0.718,13.335
p3499,s4868,Yes,Male,0.952,8.91
p3500,s4868,Yes,Male,1.342,10.724
p3501,s4868,No,Male,0.242,12.68
p3502,s4868,No,Male,0.582,17.77
p3503,s4868,Yes,Female,0.852,16.411
p3504,s4868,Yes,Male,0.522,12.298
p3505,s4868,No,Male,0.462,13.816
p3506,s4868,No,Female,1.512,15.524
p3507,s4868,No,Male,1.112,15.352
p3508,s4868,Yes,Male,-0.928,16.163
p3509,s4868,No,Female,0.862,16.413
p3510,s4868,No,Female,0.342,8.425
p3511,s4868,Yes,Male,-1.058,8.874
p3512,s4868,No,Male,0.852,20.69
p3513,s4868,No,Male,0.772,18.53
p3514,s4868,Yes,Female,-0.248,7.358
p3515,s4868,No,Male,1.342,12.694
p3516,s4868,Yes,Male,-0.228,18.399
p3517,s4868,Yes,Male,0.562,13.879
p3518,s4868,No,Male,0.172,18.479
p3519,s4868,No,Male,0.802,4.102
p3520,s4868,Yes,Male,-0.058,9.101
p3521,s4868,Yes,Male,-0.338,10.405
p3522,s4868,No,Female,0.352,14.209
p3523,s4868,No,Male,1.322,-1.607
p3524,s4868,Yes,Male,-0.158,9.368
p3525,s4868,No,Female,-0.198,0.098
p3526,s4868,Yes,Female,-0.528,5.071
p3527,s4868,No,Male,0.362,16.46
p3528,s4931,No,Female,0.992,11.731
p3529,s4931,No,Female,0.902,19.996
p3530,s4931,No,Male,0.572,13.938
p3531,s4931,No,Female,-0.678,12.188
p3532,s4931,No,Female,0.142,7.914
p3533,s4931,Yes,Female,1.262,17.168
p3534,s4931,No,Male,0.952,23.528
p3535,s4931,No,Female,-0.038,23.878
p3536,s4931,No,Female,0.652,20.876
p3537,s4931,No,Male,0.632,5.982
p3538,s4931,No,Male,0.412,9.801
p3539,s4931,No,Male,-1.058,23.023
p3540,s4931,No,Female,1.512,8.075
p3541,s4931,No,Female,0.602,13.499
p3542,s4931,No,Female,0.162,9.112
p3543,s4931,No,Female,0.142,18.617
p3544,s4931,No,Female,0.442,11.966
p3545,s4931,No,Female,0.922,5.592
p3546,s4931,No,Male,-0.118,21.358
p3547,s4931,No,Male,1.142,9.792
p3548,s4931,No,Female,0.142,10.018
p3549,s4931,No,Female,-0.018,12.89
p3550,s4931,No,Male,-0.298,21.037
p3551,s4931,No,Male,0.392,16.75
p3552,s4931,No,Female,0.162,12.406
p3553,s4931,No,Female,0.282,22.432
p3554,s4931,Yes,Female,-0.148,14.492
p3555,s4931,No,Female,0.732,10.421
p3556,s4931,No,Female,0.792,15.168
p3557,s4931,No,Female,-0.278,4.447
p3558,s4931,No,Male,0.102,10.62
p3559,s4931,No,Female,-0.748,11.435
p3560,s4931,No,Female,0.922,18.775
p3561,s4931,No,Male,0.022,12.858
p3562,s4931,No,Male,-1.788,3.033
p3563,s4931,No,Male,0.762,21.534
p3564,s4931,No,Female,1.452,22.846
p3565,s4931,No,Female,1.362,12.577
p3566,s4931,No,Female,0.822,13.272
p3567,s4931,No,Male,0.162,12.773
p3568,s4931,No,Male,0.742,15.267
p3569,s4931,No,Female,-0.398,19.21
p3570,s4931,No,Male,0.052,15.758
p3571,s4931,No,Female,-0.678,8.39
p3572,s4931,No,Female,0.132,8.463
p3573,s4931,No,Female,1.212,11.085
p3574,s4931,No,Male,0.932,12.201
p3575,s4931,No,Male,1.192,17.529
p3576,s4931,No,Female,-0.618,9.183
p3577,s4931,No,Male,0.712,15.265
p3578,s4931,No,Female,0.972,9.276
p3579,s4931,No,Female,1.082,20.194
p3580,s4931,No,Female,0.622,7.125
p3581,s4931,No,Female,-0.018,7.555
p3582,s4931,No,Male,-0.208,17.332
p3583,s4931,Yes,Male,1.192,7.85
p3584,s4931,No,Female,0.512,16.616
p3585,s4931,No,Female,-0.658,13.75
p3586,s5192,No,Male,-0.018,2.35
p3587,s5192,No,Female,1.072,2.839
p3588,s5192,No,Male,-0.358,4.057
p3589,s5192,No,Male,-1.098,3.418
p3590,s5192,No,Female,0.392,17.088
p3591,s5192,No,Male,-0.598,15.389
p3592,s5192,Yes,Female,-0.828,10.63
p3593,s5192,No,Male,0.262,6.166
p3594,s5192,Yes,Male,1.192,5.043
p3595,s5192,No,Female,1.342,17.913
p3596,s5192,No,Female,-1.278,15.054
p3597,s5192,No,Female,-0.918,17.072
p3598,s5192,No,Female,-0.648,19.141
p3599,s5192,Yes,Male,-0.538,-0.576
p3600,s5192,Yes,Male,-0.368,4.88
p3601,s5192,No,Female,-1.218,5.137
p3602,s5192,Yes,Female,-0.888,4.311
p3603,s5192,No,Female,0.252,13.482
p3604,s5192,Yes,Male,-0.528,0.313
p3605,s5192,No,Male,-0.568,17.158
p3606,s5192,No,Male,0.032,15.37
p3607,s5192,No,Female,0.352,10.721
p3608,s5192,Yes,Female,1.262,22.451
p3609,s5192,No,Female,0.372,19.575
p3610,s5192,No,Male,0.752,21.91
p3611,s5192,No,Female,-0.468,10.97
p3612,s5192,No,Male,1.202,3.943
p3613,s5192,No,Female,0.052,5.661
p3614,s5404,No,Female,0.612,24.993
p3615,s5404,No,Female,1.182,5.868
p3616,s5404,No,Female,1.072,15.281
p3617,s5404,No,Female,1.152,13.555
p3618,s5404,No,Female,0.842,15.762
p3619,s5404,No,Female,0.862,20.144
p3620,s5404,No,Female,0.622,16.423
p3621,s5404,No,Female,0.442,4.072
p3622,s5404,No,Female,1.422,16.985
p3623,s5404,No,Female,1.452,7.204
p3624,s5404,No,Female,0.992,20.379
p3625,s5404,No,Female,0.652,24.095
p3626,s5404,No,Female,0.542,11.046
p3627,s5404,No,Female,0.932,21.524
p3628,s5404,No,Female,1.122,17.537
p3629,s5404,No,Female,-0.318,11.833
p3630,s5404,No,Female,0.242,19.467
p3631,s5404,No,Female,0.802,3.552
p3632,s5404,No,Female,0.732,19.425
p3633,s5404,No,Female,1.012,17.994
p3634,s5404,Yes,Female,0.592,19.859
p3635,s5404,No,Female,1.342,15.497
p3636,s5404,No,Female,0.932,24.138
p3637,s5404,No,Female,0.392,14.573
p3638,s5404,No,Female,-0.358,4.096
p3639,s5404,No,Female,0.532,8.47
p3640,s5404,Yes,Female,-0.898,20.776
p3641,s5404,No,Female,0.832,9.106
p3642,s5404,No,Female,1.172,10.713
p3643,s5404,No,Female,-0.468,10.817
p3644,s5404,No,Female,1.172,20.794
p3645,s5404,No,Female,1.072,7.128
p3646,s5404,No,Female,1.172,22.896
p3647,s5404,No,Female,0.422,16.895
p3648,s5404,No,Female,0.482,8.215
p3649,s5404,No,Female,0.982,4.837
p3650,s5404,No,Female,1.182,16.713
p3651,s5404,No,Female,-0.098,14.106
p3652,s5404,No,Female,1.242,13.711
p3653,s5404,No,Female,0.952,17.312
p3654,s5404,No,Female,1.262,12.411
p3655,s5404,No,Female,1.072,14.927
p3656,s5404,No,Female,0.902,18.802
p3657,s5404,No,Female,1.512,22.08
p3658,s5404,Yes,Female,0.762,9.395
p3659,s5404,No,Female,1.072,24.479
p3660,s5404,No,Female,0.702,9.987
p3661,s5404,No,Female,0.902,16.574
p3662,s5404,No,Female,0.452,23.81
p3663,s5404,No,Female,1.122,17.163
p3664,s5404,No,Female,1.302,21.819
p3665,s5404,No,Female,1.182,20.686
p3666,s5404,No,Female,1.512,19.015
p3667,s5404,No,Female,1.262,13.664
p3668,s5404,No,Female,0.932,23.137
p3669,s5404,No,Female,1.422,4.682
p3670,s5404,No,Female,0.632,18.232
p3671,s5619,No,Female,1.362,22.521
p3672,s5619,No,Male,0.502,24.133
p3673,s5619,No,Female,-0.858,6.756
p3674,s5619,No,Male,-0.098,16.338
p3675,s5619,No,Female,0.162,4.408
p3676,s5619,No,Male,0.542,6.388
p3677,s5619,No,Male,1.012,23.566
p3678,s5619,No,Male,0.772,18.315
p3679,s5619,No,Female,-0.728,16.721
p3680,s5619,No,Male,0.842,24.993
p3681,s5619,No,Male,0.782,19.032
p3682,s5619,No,Male,0.582,21.031
p3683,s5619,No,Male,1.422,18.6
p3684,s5619,No,Male,1.512,21.666
p3685,s5619,No,Female,-0.288,0.452
p3686,s5619,No,Male,-1.258,-0.368
p3687,s5619,No,Male,0.182,17.817
p3688,s5619,No,Female,0.842,11.827
p3689,s5619,No,Male,1.182,14.457
p3690,s5619,No,Male,-0.338,18.272
p3691,s5619,No,Female,0.362,12.905
p3692,s5619,No,Female,0.412,15.936
p3693,s5619,No,Male,1.122,23.746
p3694,s5619,No,Male,0.922,19.757
p3695,s5619,No,Male,1.292,18.915
p3696,s5619,No,Female,-0.118,23.124
p3697,s5619,No,Male,0.772,17.193
p3698,s5619,No,Female,-0.098,24.133
p3699,s5619,No,Male,0.562,16.703
p3700,s5619,No,Female,0.972,20.17
p3701,s5619,No,Male,0.912,15.977
p3702,s5619,No,Male,0.632,23.043
p3703,s5619,No,Male,1.062,22.051
p3704,s5619,No,Female,-0.478,10.506
p3705,s5619,No,Female,0.412,21.451
p3706,s5619,No,Male,-0.728,1.135
p3707,s5619,No,Male,0.522,18.737
p3708,s5619,No,Female,0.042,16.443
p3709,s5619,No,Male,0.202,7.751
p3710,s5619,No,Male,0.932,14.44
p3711,s5619,No,Female,0.472,1.701
p3712,s5619,No,Female,0.542,9.264
p3713,s5619,No,Male,0.102,18.749
p3714,s5619,No,Female,0.312,19.491
p3715,s5619,No,Female,0.112,17.474
p3716,s5619,No,Male,0.252,3.352
p3717,s5619,No,Female,0.792,18.116
p3718,s5619,No,Male,0.562,22.08
p3719,s5619,No,Female,0.612,3.254
p3720,s5619,No,Female,0.642,8.529
p3721,s5619,No,Female,0.062,24.247
p3722,s5619,No,Female,1.282,14.76
p3723,s5619,No,Male,0.562,24.479
p3724,s5619,No,Male,-1.048,2.866
p3725,s5619,No,Male,0.842,16.236
p3726,s5619,No,Female,0.932,22.517
p3727,s5619,No,Male,-0.188,11.755
p3728,s5619,No,Female,0.032,24.479
p3729,s5619,No,Female,0.372,9.939
p3730,s5619,No,Male,0.932,23.062
p3731,s5619,No,Male,0.752,9.572
p3732,s5619,No,Female,0.082,8.647
p3733,s5619,No,Male,0.392,17.795
p3734,s5619,No,Female,0.542,-0.988
p3735,s5619,No,Female,0.172,16.649
p3736,s5619,No,Female,-0.218,18.406
p3737,s5640,No,Male,0.512,11.876
p3738,s5640,No,Female,-1.068,14.283
p3739,s5640,No,Female,-0.458,3.714
p3740,s5640,No,Male,0.632,23.048
p3741,s5640,No,Female,-0.038,18.066
p3742,s5640,No,Female,-0.768,1.427
p3743,s5640,No,Female,-0.518,7.582
p3744,s5640,No,Male,0.262,24.107
p3745,s5640,No,Female,-0.798,23.424
p3746,s5640,No,Female,-0.078,7.261
p3747,s5640,No,Male,0.252,0.443
p3748,s5640,No,Female,-0.138,12.338
p3749,s5640,No,Male,-0.058,6.035
p3750,s5640,No,Female,0.532,10.579
p3751,s5640,No,Male,0.332,18.225
p3752,s5640,No,Female,-0.978,10.193
p3753,s5640,No,Female,0.832,19.16
p3754,s5640,No,Male,-0.548,9.223
p3755,s5640,No,Female,-0.648,20.145
p3756,s5640,No,Male,-1.198,7.131
p3757,s5640,No,Male,-1.168,3.927
p3758,s5640,No,Male,-0.648,16.722
p3759,s5640,No,Male,0.972,20.907
p3760,s5640,No,Female,0.072,22.406
p3761,s5640,No,Male,-0.468,24.545
p3762,s5640,No,Male,-0.658,21.579
p3763,s5640,No,Female,-0.118,16.509
p3764,s5640,No,Male,-0.368,11.534
p3765,s5640,No,Male,0.752,16.197
p3766,s5640,No,Male,-0.508,22.107
p3767,s5640,No,Male,0.012,23.768
p3768,s5640,No,Female,-0.818,4.037
p3769,s5640,No,Female,-0.808,9.231
p3770,s5640,No,Male,-0.748,8.276
p3771,s5640,No,Female,0.012,17.085
p3772,s5640,No,Male,-0.448,13
p3773,s5640,No,Female,0.592,22.373
p3774,s5640,No,Male,1.092,11.281
p3775,s5640,No,Male,-0.848,11.11
p3776,s5640,No,Female,-0.938,2.215
p3777,s5640,No,Male,-0.068,19.515
p3778,s5640,No,Male,-0.308,16.212
p3779,s5640,No,Male,-0.078,13.876
p3780,s5640,No,Female,0.202,0.614
p3781,s5640,No,Male,-0.348,11.116
p3782,s5640,No,Male,0.892,23.525
p3783,s5640,No,Male,-1.138,8.389
p3784,s5640,No,Male,0.252,9.056
p3785,s5640,No,Male,-0.268,14.699
p3786,s5640,No,Male,0.572,15.758
p3787,s5640,No,Male,0.182,0.718
p3788,s5640,No,Female,-0.078,15.058
p3789,s5640,No,Female,0.022,4.067
p3790,s5640,No,Female,0.132,11.902
p3791,s5640,No,Female,-0.588,5.915
p3792,s5640,No,Male,-0.358,9.314
p3793,s5640,No,Male,-0.108,23.323
p3794,s5650,Yes,Female,0.292,22.587
p3795,s5650,Yes,Male,-0.948,7.633
p3796,s5650,Yes,Female,-0.758,8.49
p3797,s5650,Yes,Female,0.482,4.682
p3798,s5650,No,Male,-0.238,14.866
p3799,s5650,Yes,Female,0.152,23.38
p3800,s5650,No,Female,1.262,22.067
p3801,s5650,Yes,Female,0.812,5.191
p3802,s5650,Yes,Female,1.072,4.527
p3803,s5650,Yes,Female,-0.618,3.422
p3804,s5650,Yes,Male,-0.048,8.034
p3805,s5650,Yes,Male,-0.838,6.552
p3806,s5650,Yes,Female,0.092,12.125
p3807,s5650,Yes,Male,-0.508,4.275
p3808,s5650,Yes,Female,0.052,15.026
p3809,s5650,Yes,Female,0.292,22.924
p3810,s5650,Yes,Female,1.252,13.331
p3811,s5650,No,Female,-0.748,16.641
p3812,s5650,Yes,Female,-0.768,20.907
p3813,s5650,Yes,Female,-0.088,12.525
p3814,s5650,Yes,Female,-0.578,10.527
p3815,s5650,Yes,Female,0.872,17.991
p3816,s5650,Yes,Male,-0.868,17.392
p3817,s5650,Yes,Female,-0.868,19.762
p3818,s5650,Yes,Female,-0.528,13.835
p3819,s5650,Yes,Female,-0.198,19.858
p3820,s5650,Yes,Female,-0.288,8.526
p3821,s5650,Yes,Male,-0.378,22.974
p3822,s5650,Yes,Female,0.152,16.722
p3823,s5650,Yes,Male,-0.358,19.312
p3824,s5650,Yes,Female,0.302,9.117
p3825,s5650,Yes,Female,-0.688,4.294
p3826,s5650,No,Female,1.262,8.507
p3827,s5650,No,Female,0.922,12.438
p3828,s5650,Yes,Female,1.512,13.508
p3829,s5650,Yes,Female,-1.538,8.368
p3830,s5650,Yes,Female,0.482,10.519
p3831,s5650,Yes,Female,-0.318,10.958
p3832,s5650,Yes,Female,1.302,18.266
p3833,s5650,Yes,Female,1.422,17.392
p3834,s5650,Yes,Male,-0.038,23.28
p3835,s5650,Yes,Male,-0.468,22.229
p3836,s5650,Yes,Male,-1.208,20.789
p3837,s5650,Yes,Male,0.682,23.28
p3838,s5650,Yes,Male,0.222,23.28
p3839,s5667,No,Female,-0.188,10.697
p3840,s5667,No,Male,0.062,14.909
p3841,s5667,No,Male,1.062,23.249
p3842,s5667,No,Male,0.272,15.319
p3843,s5667,Yes,Male,-1.328,0.258
p3844,s5667,No,Male,1.512,5.902
p3845,s5667,No,Male,1.002,23.785
p3846,s5667,No,Female,-0.498,10.478
p3847,s5667,No,Male,-0.368,16.752
p3848,s5667,No,Female,1.122,18.184
p3849,s5667,No,Female,-0.098,6.094
p3850,s5667,Yes,Male,1.092,16.269
p3851,s5667,No,Male,0.652,10.989
p3852,s5667,No,Male,0.632,21.097
p3853,s5667,No,Male,-0.778,23.033
p3854,s5667,No,Male,0.202,22.544
p3855,s5667,No,Male,0.862,12.413
p3856,s5667,Yes,Female,0.792,8.169
p3857,s5667,No,Female,0.702,10.373
p3858,s5667,No,Male,0.792,23.882
p3859,s5667,No,Male,0.332,15.745
p3860,s5667,No,Male,0.232,17.765
p3861,s5667,No,Female,1.072,15.826
p3862,s5667,No,Male,0.092,-2.832
p3863,s5667,No,Female,0.532,4.618
p3864,s5667,No,Male,0.652,22.889
p3865,s5667,No,Female,-0.888,6.967
p3866,s5667,No,Female,1.422,17.9
p3867,s5667,No,Male,0.832,9.743
p3868,s5667,No,Male,0.482,11.893
p3869,s5667,No,Male,-0.838,10.489
p3870,s5667,No,Female,0.762,13.437
p3871,s5667,No,Male,0.662,8.954
p3872,s5667,No,Female,0.852,18.773
p3873,s5667,No,Male,0.462,17.974
p3874,s5667,No,Male,0.582,18.454
p3875,s5667,No,Female,-0.158,21.319
p3876,s5667,No,Male,1.122,12.882
p3877,s5667,No,Male,0.252,21.283
p3878,s5667,No,Male,0.292,17.112
p3879,s5667,No,Female,1.332,14.859
p3880,s5667,Yes,Female,-0.388,11.141
p3881,s5667,No,Female,-0.648,0.977
p3882,s5667,No,Female,0.432,13.138
p3883,s5667,No,Female,0.182,7.965
p3884,s5667,No,Male,0.582,24.067
p3885,s5667,No,Male,0.322,15.409
p3886,s5667,No,Male,0.502,9.903
p3887,s5667,No,Female,0.892,12.336
p3888,s5667,No,Male,-0.158,21.533
p3889,s5667,No,Female,0.842,11.286
p3890,s5667,No,Female,0.762,12.331
p3891,s5667,Yes,Male,-0.298,13.813
p3892,s5667,Yes,Male,1.512,23.053
p3893,s5667,No,Male,0.032,5.812
p3894,s5667,No,Male,0.832,17.271
p3895,s5667,Yes,Female,-0.468,0.767
p3896,s5667,No,Male,0.712,4.68
p3897,s5667,Yes,Male,0.472,14.796
p3898,s5667,No,Male,1.202,21.514
p3899,s5667,No,Male,0.662,8.234
p3900,s5720,No,Female,0.432,19.196
p3901,s5720,No,Female,-0.838,13.754
p3902,s5720,No,Female,-0.068,12.43
p3903,s5720,No,Male,0.502,11.871
p3904,s5720,No,Male,-1.228,13.289
p3905,s5720,No,Male,0.302,0.829
p3906,s5720,No,Female,0.502,18.8
p3907,s5720,No,Female,-0.298,13.086
p3908,s5720,No,Female,0.382,21.361
p3909,s5720,No,Female,-0.238,8.259
p3910,s5720,No,Male,-0.528,17.248
p3911,s5720,No,Female,-0.658,9.757
p3912,s5720,No,Female,0.502,20.765
p3913,s5720,No,Male,-0.078,15.896
p3914,s5720,No,Male,0.322,23.912
p3915,s5720,No,Male,1.182,24.075
p3916,s5720,No,Female,-0.498,12.851
p3917,s5720,No,Female,-0.898,14.649
p3918,s5720,No,Male,-0.948,14.477
p3919,s5720,No,Female,0.352,14.68
p3920,s5720,No,Female,-0.818,14.966
p3921,s5720,No,Male,-0.318,3.265
p3922,s5720,No,Male,-0.508,12.149
p3923,s5720,No,Male,-0.718,17.187
p3924,s5720,No,Male,0.652,22.829
p3925,s5720,No,Female,-0.678,8.342
p3926,s5720,No,Female,-0.038,12.428
p3927,s5720,No,Female,0.772,10.315
p3928,s5720,No,Male,-0.688,7.136
p3929,s5720,No,Female,0.592,20.504
p3930,s5720,No,Female,-0.448,10.669
p3931,s5720,No,Female,0.092,9.064
p3932,s5720,No,Male,0.202,15.664
p3933,s5720,No,Female,0.512,7.728
p3934,s5720,No,Male,0.632,23.525
p3935,s5720,No,Male,-0.978,18.493
p3936,s5720,No,Male,-0.628,-1.472
p3937,s5720,No,Male,0.442,18.714
p3938,s5720,No,Female,0.792,9.484
p3939,s5720,No,Female,0.132,13.265
p3940,s5720,No,Male,0.132,19.945
p3941,s5720,No,Male,1.082,12.012
p3942,s5720,No,Male,-0.438,17.221
p3943,s5720,No,Female,-0.468,10.385
p3944,s5720,No,Female,0.012,10.822
p3945,s5720,No,Male,-0.308,12.55
p3946,s5720,No,Male,0.262,15.371
p3947,s5720,No,Male,0.922,22.465
p3948,s5720,No,Male,0.572,8.652
p3949,s5720,No,Male,-0.888,21.794
p3950,s5720,No,Male,1.132,18.241
p3951,s5720,No,Male,1.122,13.712
p3952,s5720,No,Male,1.392,18.352
p3953,s5761,No,Female,-1.118,2.076
p3954,s5761,No,Female,0.392,5.797
p3955,s5761,Yes,Female,-0.528,6.037
p3956,s5761,Yes,Female,1.402,9.889
p3957,s5761,Yes,Female,0.182,11.618
p3958,s5761,No,Female,-0.708,5.364
p3959,s5761,No,Female,-0.018,14.633
p3960,s5761,No,Female,-1.238,4.153
p3961,s5761,Yes,Female,-0.938,6.712
p3962,s5761,Yes,Female,-0.718,17.514
p3963,s5761,Yes,Female,-0.348,21.233
p3964,s5761,No,Female,-1.368,9.544
p3965,s5761,No,Female,-1.758,-1.408
p3966,s5761,No,Female,-1.278,8.393
p3967,s5761,Yes,Female,1.252,21.39
p3968,s5761,No,Female,0.472,17.157
p3969,s5761,No,Female,-0.118,7.344
p3970,s5761,No,Female,-0.078,2.407
p3971,s5761,Yes,Female,-0.858,17.042
p3972,s5761,No,Female,-0.168,14.662
p3973,s5761,No,Female,-0.428,15.794
p3974,s5761,Yes,Female,-0.198,16.481
p3975,s5761,No,Female,-0.798,20.99
p3976,s5761,No,Female,0.022,8.794
p3977,s5761,Yes,Female,0.872,8.331
p3978,s5761,No,Female,0.682,24.479
p3979,s5761,No,Female,0.802,13.33
p3980,s5761,No,Female,-0.278,11.342
p3981,s5761,Yes,Female,1.182,16.773
p3982,s5761,No,Female,-0.328,21.633
p3983,s5761,No,Female,-0.298,17.92
p3984,s5761,No,Female,-0.258,16.784
p3985,s5761,No,Female,0.272,13.7
p3986,s5761,No,Female,-0.598,3.422
p3987,s5761,No,Female,-0.158,4.462
p3988,s5761,Yes,Female,-0.668,8.118
p3989,s5761,Yes,Female,-0.768,17.931
p3990,s5761,Yes,Female,-0.028,1.288
p3991,s5761,No,Female,0.842,14.836
p3992,s5761,No,Female,-0.378,6.861
p3993,s5761,Yes,Female,-0.278,14.872
p3994,s5761,Yes,Female,0.192,14.73
p3995,s5761,Yes,Female,-0.558,5.076
p3996,s5761,Yes,Female,-1.128,14.491
p3997,s5761,Yes,Female,-1.038,-0.493
p3998,s5761,No,Female,-0.508,10.084
p3999,s5761,Yes,Female,-1.008,17.565
p4000,s5761,No,Female,-0.798,5.655
p4001,s5761,No,Female,-0.838,15.644
p4002,s5761,Yes,Female,-0.708,-1.559
p4003,s5761,Yes,Female,-0.898,6.659
p4004,s5761,No,Female,-1.178,11.629
p4005,s5762,Yes,Male,-1.308,8.529
p4006,s5762,Yes,Male,-0.828,13.453
p4007,s5762,Yes,Male,-1.498,10.81
p4008,s5762,Yes,Female,-1.768,0.585
p4009,s5762,Yes,Male,-1.028,-2.252
p4010,s5762,Yes,Male,-0.438,2.633
p4011,s5762,Yes,Female,-1.118,-2.55
p4012,s5762,Yes,Female,-1.428,3.284
p4013,s5762,Yes,Female,-0.858,2.43
p4014,s5762,Yes,Female,-1.758,12.771
p4015,s5762,No,Female,-1.448,4.888
p4016,s5762,Yes,Female,-1.358,7.081
p4017,s5762,Yes,Male,-1.848,5.813
p4018,s5762,Yes,Male,-1.648,5.037
p4019,s5762,Yes,Female,-1.358,-2.224
p4020,s5762,Yes,Male,-0.588,6.524
p4021,s5762,Yes,Male,-1.118,-2.721
p4022,s5762,Yes,Male,-1.948,0.193
p4023,s5762,Yes,Female,0.052,0.959
p4024,s5762,Yes,Female,-1.608,6.366
p4025,s5762,Yes,Female,-0.768,4.423
p4026,s5762,Yes,Female,-2.078,3.954
p4027,s5762,Yes,Male,-1.488,2.572
p4028,s5762,Yes,Female,-0.838,19.424
p4029,s5762,Yes,Male,-0.988,7.094
p4030,s5762,Yes,Female,-0.898,2.764
p4031,s5762,Yes,Male,-0.208,3.73
p4032,s5762,No,Female,-0.888,-0.754
p4033,s5762,Yes,Female,-1.578,-2.832
p4034,s5762,Yes,Female,-0.078,1.045
p4035,s5762,No,Female,-1.308,9.385
p4036,s5762,No,Male,-1.368,2.617
p4037,s5762,Yes,Female,-1.118,1.083
p4038,s5762,Yes,Female,-1.238,7.722
p4039,s5762,Yes,Female,-1.538,5.312
p4040,s5762,Yes,Male,-0.988,0.569
p4041,s5762,Yes,Male,-1.908,10.303
p4042,s5783,No,Male,-0.548,4.983
p4043,s5783,No,Female,0.322,9.725
p4044,s5783,No,Female,-0.728,21.504
p4045,s5783,No,Female,0.022,11.637
p4046,s5783,No,Female,-0.168,4.858
p4047,s5783,No,Male,0.502,17.53
p4048,s5783,Yes,Female,-0.498,0.148
p4049,s5783,No,Female,0.522,17.718
p4050,s5783,Yes,Female,0.612,1.288
p4051,s5783,Yes,Male,0.762,3.083
p4052,s5783,Yes,Female,1.002,18.026
p4053,s5783,No,Female,-0.538,10.652
p4054,s5783,No,Female,-0.298,20
p4055,s5783,Yes,Female,1.152,11.593
p4056,s5783,No,Female,-0.168,17.416
p4057,s5783,No,Male,0.852,17.059
p4058,s5783,No,Female,0.342,9.413
p4059,s5783,No,Male,1.152,22.794
p4060,s5783,No,Male,-0.188,15.456
p4061,s5783,No,Male,0.982,18.326
p4062,s5783,No,Male,0.272,13.009
p4063,s5783,No,Female,-0.528,7.417
p4064,s5783,No,Female,-0.348,14.704
p4065,s5783,No,Male,0.742,10.927
p4066,s5783,No,Male,1.122,22.541
p4067,s5783,No,Male,0.822,21.141
p4068,s5783,No,Female,-2.328,5.499
p4069,s5783,Yes,Female,0.492,17.287
p4070,s5783,Yes,Male,-0.318,15.626
p4071,s5815,No,Female,-1.828,5.964
p4072,s5815,Yes,Male,-1.478,0.842
p4073,s5815,Yes,Male,-1.068,5.271
p4074,s5815,No,Male,-0.228,17.43
p4075,s5815,No,Male,0.292,10.485
p4076,s5815,No,Female,-0.818,0.371
p4077,s5815,No,Male,-0.228,12.521
p4078,s5815,Yes,Female,-0.718,2.865
p4079,s5815,No,Female,-0.048,12.484
p4080,s5815,No,Female,-0.718,14.206
p4081,s5815,No,Female,-0.588,19.598
p4082,s5815,No,Male,-0.518,6.707
p4083,s5815,Yes,Male,-0.268,3.9
p4084,s5815,Yes,Female,-1.768,1.27
p4085,s5815,No,Female,-0.918,11.182
